city,Expenses_outside_CC,Avg. Monthly Salary,Expense/Income,Exp_Category
New York,5388.32,5944.31,0.91,Most_Exp
Los Angeles,4604.57,5456.15,0.84,Most_Exp
Chicago,3373.38,4819.49,0.7,More_Exp
Miami,4116.0,4195.86,0.98,Most_Exp
Dallas,3352.01,5459.79,0.61,More_Exp
Philadelphia,3084.83,4897.71,0.63,Exp
Houston,2739.97,5063.25,0.54,Exp
Atlanta,3118.0,4878.17,0.64,More_Exp
Washington,4103.33,5907.32,0.69,Most_Exp
Boston,4315.37,5342.19,0.81,Most_Exp
Phoenix,3194.19,5090.45,0.63,More_Exp
Seattle,4161.89,6292.34,0.66,Most_Exp
Detroit,2691.41,3926.67,0.69,Less_Exp
San Diego,4603.13,5924.47,0.78,Most_Exp
Minneapolis,3126.78,4963.79,0.63,More_Exp
Tampa,3346.0,5289.14,0.63,More_Exp
Denver,3522.09,5565.78,0.63,More_Exp
Brooklyn,3823.29,4950.19,0.77,Most_Exp
Queens,3500.77,5000.0,0.7,More_Exp
Baltimore,3237.69,5188.03,0.62,More_Exp
Riverside,3670.74,3266.67,1.12,Most_Exp
Las Vegas,2952.63,3817.48,0.77,Exp
Portland,3517.2,4599.72,0.76,More_Exp
Sacramento,3695.78,4703.11,0.79,Most_Exp
Orlando,3078.27,5192.09,0.59,Exp
Cleveland,2646.81,4435.33,0.6,Less_Exp
San Jose,4832.25,6808.52,0.71,Most_Exp
Pittsburgh,2739.39,4143.72,0.66,Exp
Austin,3372.08,5494.29,0.61,More_Exp
Cincinnati,2303.42,3621.99,0.64,Less_Exp
Indianapolis,2507.26,4562.61,0.55,Less_Exp
Columbus,2601.63,4403.89,0.59,Less_Exp
Charlotte,3122.41,5101.48,0.61,More_Exp
Virginia Beach,2844.58,4178.0,0.68,Exp
Bronx,3512.86,2000.0,1.76,More_Exp
Milwaukee,2306.68,5043.75,0.46,Less_Exp
Providence,2604.85,4266.67,0.61,Less_Exp
Jacksonville,2659.19,4580.33,0.58,Less_Exp
Salt Lake City,2948.99,4396.98,0.67,Exp
Nashville,3590.73,4812.25,0.75,More_Exp
Richmond,2616.29,5760.89,0.45,Less_Exp
Memphis,2400.25,4647.22,0.52,Less_Exp
Raleigh,3357.42,4947.71,0.68,More_Exp
Louisville,2250.58,4226.39,0.53,Less_Exp
New Orleans,3068.01,3405.25,0.9,Exp
Oklahoma City,2123.75,3167.94,0.67,Least_Exp
Buffalo,2340.15,4264.26,0.55,Less_Exp
Bridgeport,3510.21,2890.0,1.21,More_Exp
Hartford,3371.14,5133.33,0.66,More_Exp
Fort Worth,2945.21,4479.5,0.66,Exp
Tucson,2484.88,4063.33,0.61,Less_Exp
Omaha,2477.49,3772.0,0.66,Less_Exp
El Paso,2150.73,4338.43,0.5,Least_Exp
Honolulu,4376.77,4091.19,1.07,Most_Exp
Albuquerque,2736.02,5317.78,0.51,Exp
Sarasota,3498.4,2800.0,1.25,More_Exp
Birmingham,2721.01,2929.9,0.93,Exp
Dayton,1975.34,3333.33,0.59,Least_Exp
Fresno,3317.28,4489.58,0.74,More_Exp
Rochester,2913.4,4275.0,0.68,Exp
Tulsa,2292.83,5036.78,0.46,Less_Exp
Cape Coral,2885.52,3916.67,0.74,Exp
Concord,2757.13,3200.0,0.86,Exp
Colorado Springs,2775.54,4563.77,0.61,Exp
Charleston,3451.92,4122.22,0.84,More_Exp
Springfield,2004.94,2833.33,0.71,Least_Exp
Grand Rapids,2906.87,5145.83,0.56,Exp
Albany,2364.48,4825.0,0.49,Less_Exp
Knoxville,2448.86,3950.0,0.62,Less_Exp
Bakersfield,3180.45,3366.02,0.94,More_Exp
Ogden,2415.73,3182.67,0.76,Less_Exp
Akron,2493.47,2786.77,0.89,Less_Exp
Baton Rouge,2481.42,3566.67,0.7,Less_Exp
Columbia,2178.82,5711.11,0.38,Least_Exp
New Haven,3295.54,4162.33,0.79,More_Exp
Mesa,3338.8,4644.44,0.72,More_Exp
Wichita,2054.67,5033.33,0.41,Least_Exp
Greenville,2366.15,4675.0,0.51,Less_Exp
Des Moines,1898.02,3232.0,0.59,Least_Exp
Long Beach,4073.51,4967.88,0.82,Most_Exp
Port St. Lucie,3225.16,5100.0,0.63,More_Exp
Madison,2680.84,3535.5,0.76,Less_Exp
Reno,3114.2,2456.5,1.27,Exp
Harrisburg,2481.25,2850.0,0.87,Less_Exp
Little Rock,2073.4,4110.67,0.5,Least_Exp
Oakland,5013.45,6111.11,0.82,Most_Exp
Durham,2654.76,6100.0,0.44,Less_Exp
Chattanooga,2729.87,4196.1,0.65,Exp
Spokane,2936.38,3882.17,0.76,Exp
Syracuse,2208.8,3612.5,0.61,Least_Exp
Arlington,4074.62,5104.4,0.8,Most_Exp
Stockton,2695.44,3090.02,0.87,Less_Exp
Lancaster,2612.67,3839.92,0.68,Less_Exp
Boise,3032.42,3833.33,0.79,Exp
Scranton,2409.15,2178.0,1.11,Less_Exp
Oxnard,4231.61,4389.0,0.96,Most_Exp
Modesto,2940.87,2200.0,1.34,Exp
Aurora,3002.36,4242.0,0.71,Exp
Kissimmee,2983.2,2937.0,1.02,Exp
Youngstown,1703.26,2243.0,0.76,Least_Exp
Anaheim,3623.64,4109.33,0.88,More_Exp
Pensacola,2894.36,5000.0,0.58,Exp
Victorville,2911.02,3386.0,0.86,Exp
Greensboro,2416.42,3463.69,0.7,Less_Exp
Jackson,1764.31,2405.0,0.73,Least_Exp
Lexington,2555.7,2883.33,0.89,Less_Exp
Henderson,3352.27,4232.8,0.79,More_Exp
Ann Arbor,3296.46,3710.25,0.89,More_Exp
Huntsville,2547.96,5244.93,0.49,Less_Exp
Asheville,4134.47,3480.0,1.19,Most_Exp
Fort Collins,3102.15,4277.78,0.73,Exp
Lakeland,2553.58,3107.0,0.82,Less_Exp
Trenton,2173.77,2102.0,1.03,Least_Exp
Lincoln,2238.61,3133.33,0.71,Least_Exp
Anchorage,3207.79,4312.5,0.74,More_Exp
